#COPY TO TURKO-SEMITIC

4337 = "Savah"
4338 = "Soltaniyah"
4340 = "Astarab"
4342 = "Tshaharmahal"
3244 = "Al-Quds"
4546 = "Malaqah"
4547 = "Al-Basit"
4549 = "Shatiba"
4553 = "Semurah"
4557 = "Qal'at 'Ayyub"
4559 = "Manurqa"
4561 = "Tatwan"
4563 = "Sala"
4564 = "Ad-Dar Al-Bayda"
4565 = "Tanrifi"
4566 = "Al-Qairuwan"
2466 = "Zakurah"
4618 = "Mina' Iylaa Al-Amir"
4625 = "Awrlandu"
4683 = "Altay Al-Janub"
4684 = "Kazakhstan Ash-Sharq"
4685 = "Karqanda"
4689 = "Sibiria Al-Jadida"
4693 = "Mukala"
4874 = "Haqlshayti"
4875 = "Chlef"
4877 = "Imburya"
4882 = "Madinah 'Akhdar"
4883 = "Al-Umawi"
4884 = "Mcom"
4885 = "Adunay"
4886 = "Ham Whimam"
4888 = "Madinah Al-Qaddafi"
4889 = "Elkenz"
4890 = "Al-Qol"
4893 = "Kybak Al-Usta"
4894 = "Temiskaming"
4896 = "Madinah Fridrik"
4897 = "Shamal Al-Khalij"
4898 = "Markit"
4899 = "Issa"
4900 = "Madinah Su"
4901 = "Mersal"
4902 = "Shalalat Al-Ealamia"
4904 = "Belfil"
4906 = "Kulumbya"
4912 = "Masina"
4913 = "Madinah Al-Suwayhili"
4914 = "Imburya"
4916 = "Mikheal"
4920 = "Istifn"
4921 = "Majal Al-Bulinj"
4923 = "Madinah Al-Yones"
4927 = "Kujluktuk"
4940 = "Kuyur di 'Aliny"
4941 = "Al-Nahyan"
